id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12
561,8/7/2014,77.33,77.44,76.56,76.71,5428000,77.67,77.98
562,8/8/2014,76.63,77.67,76.51,77.62,5957200,77.39,77.67
563,8/11/2014,77.67,78.25,77.65,77.87,4513400,77.21,77.25
564,8/12/2014,77.87,78.14,77.52,77.82,4723600,77.23,77.13
565,8/13/2014,78.1,78.1,77.13,77.24,6935200,77.35,77.23
566,8/14/2014,77.48,77.5,76.16,76.62,10892600,77.31,77.17
567,8/15/2014,77.22,77.28,76.37,76.91,8090000,77.29,77.3
568,8/18/2014,77.19,77.86,77.18,77.59,6830800,77.26,77.33
569,8/19/2014,77.8,78.2,77.6,78.12,4907000,77.38,77.5
570,8/20/2014,78.01,78.47,77.74,78.03,4668800,77.45,77.45
571,8/21/2014,77.81,78.17,77.39,77.47,4812000,77.48,77.36
572,8/22/2014,77.24,77.6,77.05,77.28,4538800,77.43,77.26
573,8/25/2014,77.64,78.22,77.51,77.97,5698400,77.43,77.31
574,8/26/2014,78.01,78.43,77.76,77.79,5501600,77.62,77.56
575,8/27/2014,77.91,78.27,77.66,77.92,4903600,77.75,77.77
576,8/28/2014,77.79,78.03,77.51,77.81,3956800,77.8,77.82
577,8/29/2014,78.07,78.1,77.52,77.81,4657400,77.75,77.73
578,9/2/2014,77.7,77.98,77.16,77.48,6196200,77.72,77.65
579,9/3/2014,77.56,77.93,76.7,76.79,6796800,77.72,77.71
580,9/4/2014,76.8,77.37,76.76,77.16,5741000,77.65,77.81
581,9/5/2014,77.01,77.97,76.81,77.95,8026600,77.54,77.7
582,9/8/2014,77.76,77.96,77.33,77.67,4492800,77.56,77.64
583,9/9/2014,77.45,77.75,76.98,77.12,5114600,77.52,77.54
584,9/10/2014,77.01,77.4,76.75,77.21,5918600,77.43,77.44
585,9/11/2014,76.98,77,76.08,76.12,9353400,77.34,77.33
586,9/12/2014,75.83,76.07,74.94,75.47,14614800,77.15,77.24
587,9/15/2014,75.26,75.34,74.39,74.92,10845800,76.96,77.29
588,9/16/2014,74.84,75.45,74.53,75.09,8040200,76.64,77.15
589,9/17/2014,75.34,75.82,75.11,75.34,7475800,76.23,76.72
590,9/18/2014,75.59,75.89,75,75.73,8027600,75.9,76.28
591,9/19/2014,75.97,76.33,75.77,76.07,12040800,75.7,75.93
592,9/22/2014,76.05,76.05,74.33,74.6,7859600,75.53,75.51
593,9/23/2014,74.29,74.88,73.78,73.96,7739000,75.32,75.31
594,9/24/2014,74.53,75.43,74.35,75.32,8586200,75.1,75.21
595,9/25/2014,75.18,75.28,74.09,74.12,8010800,75.16,75.27
596,9/26/2014,74,75.23,73.94,75.17,7659600,75.02,75.26
597,9/29/2014,74.55,75.52,74.45,75.27,6366400,75,75.17
598,9/30/2014,75.56,75.85,75.02,75.46,7799600,74.93,74.97
599,10/1/2014,75.68,75.91,74.41,74.61,8119000,74.84,74.66
600,10/2/2014,74.41,75,73.78,74.45,8573600,74.84,74.72
601,10/3/2014,74.8,76.1,74.77,75.89,8229000,74.91,74.96
602,10/6/2014,76.02,76.23,75.1,75.15,5208000,75,74.88
603,10/7/2014,74.9,75.05,74.02,74.05,6383400,75.14,75.14
604,10/8/2014,74.24,75.42,73.63,75.26,6713400,74.98,75.09
605,10/9/2014,75.04,75.82,74.36,74.48,9342800,74.98,75.02
606,10/10/2014,74.26,75.79,74.1,74.46,10495400,74.84,74.86
607,10/13/2014,74.21,74.44,72.01,72.19,12428600,74.82,74.92
608,10/14/2014,72.41,73.58,72.21,72.74,10995000,74.5,74.93
609,10/15/2014,72.03,72.93,71.27,72.38,13621800,74.05,74.47
610,10/16/2014,71.18,72.87,70.77,72.64,9738000,73.65,74.09
611,10/17/2014,73.35,73.91,72.88,73.54,9580600,73.45,73.94
612,10/20/2014,73.61,74.75,73.41,74.7,7945200,73.2,73.43
613,10/21/2014,75,75.19,74.14,74.36,12296600,73.24,73.12
614,10/22/2014,74.48,74.99,74.16,74.6,6469600,73.22,72.81
615,10/23/2014,75.15,75.51,74.76,74.84,6837800,73.57,73.15
616,10/24/2014,74.9,75.91,74.35,75.81,7358400,73.87,73.43
617,10/27/2014,76.01,76.38,75.82,75.97,5783400,74.36,73.93
618,10/28/2014,76.34,77.07,75.88,77.05,8151000,74.83,74.47
619,10/29/2014,77.1,77.67,76.22,76.54,8795000,75.33,74.92
620,10/30/2014,76.18,77.45,76.11,77.32,13389000,75.6,75.15
621,10/31/2014,75.25,76.74,74.92,75.56,35890000,76.02,75.56
622,11/3/2014,75.97,76.27,75.47,76.1,10607000,76.16,75.95
623,11/4/2014,75.61,76.94,75.5,76.71,10420000,76.34,76.32
624,11/5/2014,77.01,77.39,76.59,76.66,7403400,76.46,76.49
625,11/6/2014,76.97,77.55,76.66,77.45,6167200,76.56,76.64
626,11/7/2014,77.64,78.09,77.21,77.79,8249000,76.62,76.53
627,11/10/2014,77.64,77.9,77.17,77.65,6555400,76.8,76.59
628,11/11/2014,77.83,78.2,77.25,77.73,5198200,76.85,76.47
629,11/12/2014,77.41,78.01,77.27,77.85,5312200,77.16,76.87
630,11/13/2014,78.19,78.48,77.41,77.89,6842200,77.41,77.2
631,11/14/2014,78.08,78.3,77.73,78.12,6039200,77.57,77.42
632,11/17/2014,77.94,78.47,77.65,77.83,5899000,77.78,77.7
633,11/18/2014,77.63,78,77.32,77.57,5755600,77.84,77.79
634,11/19/2014,77.44,78.08,77.4,77.82,5231200,77.81,77.8
635,11/20/2014,77.66,78.64,77.65,78.2,6287000,77.83,77.84
636,11/21/2014,79.13,79.92,78.77,79.76,14027800,77.9,77.88
637,11/24/2014,79.9,80.82,79.71,80.52,9426200,78.17,77.96
638,11/25/2014,80.56,80.92,80.05,80.21,8118400,78.55,78.13
639,11/26/2014,80.12,80.31,79.4,79.7,6196800,78.84,78.31
640,11/28/2014,80.43,81.64,80.41,81.21,6766600,79.11,78.63
641,12/1/2014,81,81.5,80.62,80.85,8627400,79.63,79.15
642,12/2/2014,80.69,80.85,80.09,80.37,7656400,80.06,79.71
643,12/3/2014,80.42,80.75,80.07,80.47,11201400,80.37,80.25
644,12/4/2014,80.6,82.3,80.39,81.31,13999000,80.48,80.43
645,12/5/2014,82.5,83.92,82.43,83.57,14788200,80.59,80.45
646,12/8/2014,84.2,84.2,83.1,83.8,11770600,81.07,80.66
647,12/9/2014,83.07,83.29,82.2,83.03,8725600,81.65,81.15
648,12/10/2014,82.9,84.04,82.55,82.66,10096400,81.91,81.33
649,12/11/2014,82.9,84.02,82.66,83.12,10046000,82.17,81.66
650,12/12/2014,82.74,83.97,82.57,83.25,9164200,82.57,82.2
651,12/15/2014,82.27,82.5,80.69,80.89,16287000,82.96,82.83
652,12/16/2014,80.49,81.09,79.11,79.13,13981800,82.9,83.23
653,12/17/2014,79.13,80.59,78.44,80.44,10161600,82.27,82.9
654,12/18/2014,81.55,81.64,79.26,80.03,17583000,81.79,82.4
655,12/19/2014,80.2,80.29,79.41,79.44,17444200,81.36,81.98
656,12/22/2014,79.85,80.55,79.77,80.54,7583800,80.9,81.54
657,12/23/2014,81.5,82.05,81.13,81.43,8147800,80.53,80.89
658,12/24/2014,81.47,81.86,81.18,81.27,2601800,80.27,80.15
659,12/26/2014,81.43,82.4,81.38,81.83,4550400,80.33,80.01
660,12/29/2014,81.66,82.55,81.5,82.38,4796600,80.71,80.4
661,12/30/2014,82.07,82.88,81.79,81.79,5253400,80.99,80.54
662,12/31/2014,82.19,83.33,82,82.05,7625400,81.24,80.84
663,1/2/2015,82.13,82.98,80.89,81.44,6886000,81.61,81.39
664,1/5/2015,80.14,80.67,79.49,79.88,11623800,81.74,81.69
665,1/6/2015,80.34,80.39,78.56,79.23,7664400,81.52,81.71
666,1/7/2015,79.75,81.23,79.4,81.18,9732600,81.23,81.7
667,1/8/2015,82.33,83.3,82.02,82.49,13170600,81.14,81.52
668,1/9/2015,80.99,81.51,79.12,79.79,27556800,81.15,81.22
669,1/12/2015,80.29,80.83,79.82,80.23,10021400,80.87,80.99
670,1/13/2015,81.48,82.14,80.13,80.87,11040800,80.61,80.63
671,1/14/2015,80.05,80.78,79.61,80.42,9290800,80.52,80.4
672,1/15/2015,80.6,80.9,79.19,79.58,8126600,80.6,80.58
673,1/16/2015,79.26,80.78,79,80.61,9015600,80.65,80.93
674,1/20/2015,80.8,81.47,80.33,81.22,10738400,80.57,80.78
675,1/21/2015,81.05,81.63,80.53,81.29,10844200,80.39,80.25
676,1/22/2015,81.36,82.84,80.89,82.74,23913000,80.6,80.46
677,1/23/2015,86.5,88.7,86.44,88.22,38107200,80.96,80.64
678,1/26/2015,88.09,88.5,87.41,88.12,14098600,82.01,80.93
679,1/27/2015,87.78,89.21,87.45,88.34,10994200,83.11,81.6
680,1/28/2015,88.7,89.59,87.49,87.57,11963200,84.36,82.79
681,1/29/2015,88.01,89.3,87.57,89.05,12475800,85.36,83.98
682,1/30/2015,88.58,88.94,87.39,87.53,10070400,86.48,85.3
683,2/2/2015,87.68,88.09,85.86,87.99,13638800,87.37,86.81
684,2/3/2015,87.98,88.49,86.93,88.49,9252400,88.12,88.16
685,2/4/2015,88,89.43,87.99,88.7,11496600,88.16,88.14
686,2/5/2015,88.71,89.77,88.71,89.64,7598600,88.24,88.17
687,2/6/2015,89.5,89.68,88.68,89,7835400,88.42,88.19
