id,Actual,SVM,ANN
226,51.96,24.4632911358,17.9974210178
227,52.22,25.6985754914,17.9880937418
228,51.73,31.9398691172,21.2103354914
229,52.12,31.315411552,21.0037337073
230,51.72,31.241155051,21.3329685213
231,52.19,29.5302313887,20.9252192546
232,51.53,29.7952501639,21.1534421223
233,51.54,27.8662727769,20.7245862691
234,52.69,28.1717021972,20.3284307087
235,52.49,29.4226616217,20.936270805
236,52.63,28.4883721558,20.9266000854
237,52.27,29.0955048649,20.6606126805
238,52.97,27.8797497001,20.8853787794
239,53.24,28.5008169649,20.946418101
240,54.11,28.8346452253,21.1472693528
241,53.93,29.6661854582,22.2582181199
242,53.9,29.5192390027,21.9369846045
243,54.12,28.937556309,22.8402343237
244,53.71,29.4867049321,23.1516428692
245,54.07,28.3618699646,21.7115491949
246,54.62,29.4480646881,22.1822784537
247,53.55,30.0827941794,23.0281335166
248,53.62,28.584375175,21.2706236832
249,53.89,28.7940836353,21.2471601012
250,54.24,28.809483641,21.3490691745
251,54.31,30.7678554357,20.0377448143
252,54.38,29.8518330545,18.2920375205
253,53.39,29.3424272006,18.2072461816
254,54.05,28.1517919549,18.1513946571
255,54.57,30.0340631953,18.4092436596
256,55.7,31.3492575627,18.4752520948
257,55.75,31.4221446131,18.5204314613
258,55.34,33.0354672228,18.5126621416
259,55.74,30.8211312318,18.2736649841
260,55.69,30.8266059441,18.472144332
261,56.21,30.5157417568,18.2570070901
262,56.2,31.4742254674,20.2277463401
263,56.69,29.6701189432,19.8873071585
264,56.56,30.279216372,20.5654540202
265,57.29,28.8578490762,20.1838840387
266,56.98,31.0967014703,22.3043868469
267,57.14,30.7300836274,21.6426486566
268,57.51,29.4911911442,21.7245883038
269,58.06,29.3931116151,22.9930958341
270,57.93,29.7393089181,23.2965336611
271,58.19,28.9032754628,22.8654925056
272,58.7,30.721457127,23.339767014
273,59.01,30.668178492,23.6291683507
274,57.23,32.4043830668,26.0271458576
275,57.2,29.6117426916,21.4208813951
276,56.27,29.3441961933,19.8047261007
277,56.35,27.5460092889,20.5588262368
278,56.38,29.1039184915,19.1512524854
279,56.85,28.8993643202,18.8740626315
280,57.1,31.0707221152,19.7852972876
281,57.74,30.9246988932,19.9539434618
282,57.83,30.1199885378,18.3395305788
283,57.59,30.2940638862,18.6760187132
284,55.81,30.7877865875,18.3349517072
285,52.84,29.504212803,18.2012796225
286,50.34,30.4556323613,18.0325470907
287,51.09,34.93263726,17.9711482019
288,53.96,33.5794655641,18.0004652395
289,55.95,32.470885218,17.9826475635
290,55.63,33.6534971934,18.1582176393
291,54.71,32.2700081952,18.3389341038
292,53.5,34.1482644414,19.6070659462
293,55.26,34.4026064474,21.1645947703
294,54.69,34.2423675633,21.2200946022
295,54.28,34.2791544601,21.243756024
296,55.21,35.0930485528,21.2413691175
297,54.69,34.1488402388,21.2458894178
298,55.37,34.4059512049,21.247668568
299,56.53,34.287530116,21.2388577758
300,56.29,34.7466515263,21.2539348282
301,56.91,34.7187157054,21.2894735355
302,57.26,34.5144333739,21.3790123687
303,57.28,34.1497509083,21.6651658617
304,56.84,34.8396245629,22.1242662142
305,57.54,35.2249402035,21.4210413921
306,57.12,35.9375336298,21.7319379133
307,57.79,35.2899795219,21.321906289
308,58.37,36.019004312,21.3760850384
309,57.99,36.7400765291,21.4422708225
310,55.77,36.1516103466,21.462513722
311,55.72,35.6193506187,21.2996482304
312,56.84,35.0532518258,21.2829630546
313,57.48,35.0836628738,21.2895997616
314,58.08,35.5157000275,21.3109373025
315,59.04,36.4895455454,18.6511732698
316,58.69,36.5541505692,19.684979521
317,58.78,35.5486689135,19.6942807835
318,59.46,36.0339209161,19.165780334
319,60.07,35.6178162035,19.7800195614
320,60.54,37.0337323144,20.4067088376
321,60.16,36.1305933742,34.54414372
322,58.82,36.3408677142,22.0142731664
323,59.69,36.1563918047,19.9422022383
324,59.93,36.7574133347,19.5996113046
325,60.97,38.0713880166,20.4731691237
326,60.88,38.4777261626,23.7704760352
327,60.53,37.1346606489,24.2606461446
328,61.49,36.0972395305,22.6318337907
329,62.61,35.7744245229,24.7636570791
330,63.43,36.8647507531,33.5787163499
331,62.71,37.5063086988,39.1227754341
332,63.51,36.0640754391,37.0071380895
333,62.5,35.3251837707,40.0505633867
334,62.57,33.1951786494,38.0931677841
335,62.24,34.7482171107,39.5509620616
336,62.8,34.1901112201,41.5582456127
337,61.96,34.1274866831,41.443526298
338,62.28,33.0624041317,40.6567405668
339,61.97,33.177782897,40.3163634784
340,61.34,32.8621731867,39.2922903463
341,62.18,32.5891692875,31.78294113
342,61.87,32.9551404362,34.3403677983
343,61.07,36.0870969596,35.6282383943
344,59.74,33.8055270568,25.8770494414
345,60.68,34.4315106481,22.4990588075
346,60.55,34.2082989346,22.5954001053
347,61.8,34.2020369178,23.1813101774
348,61.46,33.8700631544,26.7769593091
349,61.99,33.8105100639,27.8244288154
350,62.64,33.7534914259,30.2354855512
351,61.96,33.4194389435,33.8861137305
352,62.19,33.8993207668,30.7791730404
353,62.18,33.504026979,33.2036218568
354,61.39,33.6009035189,33.4542972086
355,61.37,34.2125768222,31.6026093797
356,61.22,34.4662274637,31.7810547992
357,59.55,33.6876903932,27.2657157401
358,61.75,33.2594457898,23.9468546449
359,61.89,33.5727890403,27.1245791143
360,62.16,33.3951465368,29.4313288627
361,61.18,33.5650345072,29.274382442
362,61.87,33.6664128695,26.4529242774
363,59.82,33.8004036844,27.5475310929
364,59.92,34.9214600858,22.8571248204
365,59.98,34.1680264976,22.7033919146
366,60.35,33.9196131777,25.1742739664
367,59.52,33.7410568402,27.9198024556
368,58.62,34.3142431779,26.7641213122
369,59.54,34.6920763434,22.2508209029
370,59.99,34.7420861252,22.2751342698
371,60.34,34.8443930142,24.6822626457
372,60.32,34.8026935908,28.7147385561
373,60.19,34.6523089591,28.048276349
374,61.13,34.4228288912,21.3884743525
375,60.82,34.495316386,27.6713813901
376,60.03,34.5289777035,27.0049135987
