id,Actual,SVM,ANN
338,147.97,91.5555478664,74.2126635708
339,147.94,92.2107651487,74.2126656937
340,145.98,92.841195583,74.2126574647
341,145.15,93.227828745,74.2126664521
342,144.99,95.1391853164,74.2126485273
343,142.54,81.0330216166,72.5436349862
344,142.59,94.6592957314,74.1816682081
345,144.42,94.0398010355,74.1896919366
346,146.08,94.9005811371,74.2064660474
347,148.28,94.3845593392,74.2126622513
348,149.24,94.5218552133,74.2126549432
349,149.4,93.9139637502,74.2126574398
350,148.34,92.3538547085,74.2126649071
351,148.65,93.8300611311,74.212658279
352,147.43,93.0640053341,74.2126652098
353,146.95,92.7263839399,74.2126667753
354,145.45,92.8159230537,74.2126664128
355,147.74,92.9819584569,74.2126205173
356,146.96,91.1960734922,74.2126652966
357,145.56,90.5643806439,74.2125865776
358,148.5,90.3787192815,74.216217309
359,148.45,90.372349261,74.2125808932
360,144.99,90.0062430678,74.212582356
361,144.24,90.4758141618,74.2162744578
362,146.41,90.6321030215,74.4324335129
363,144.62,90.3014235073,74.2185012196
364,143.0,89.203232998,74.5767975789
365,146.53,88.82275616,71.9601984024
366,148.11,88.9514568583,74.2747450444
367,145.56,88.0163035819,74.2158567235
368,139.58,85.9192308666,74.2665643112
369,140.9,85.2318940945,71.5046013912
370,142.38,84.9870819515,75.3087266294
371,144.06,84.7065603322,75.5544119321
372,143.53,84.5224729934,75.2888343176
373,144.54,84.6422056496,74.9686977768
374,147.35,81.7237875827,74.2126294664
375,146.41,82.9335263826,75.6466686194
376,144.59,83.2387407257,75.6203000173
